,problem_id,problem_id.1,translated
0,1,['Better nip that shit in the bud early.'],[“最好早点把它扼杀在萌芽状态。”
1,2,"[""Better play your part bitch don't be a smart bitch cuz I might have a change of heart""]",[“最好扮演你的角色，婊子，别做个聪明的婊子，因为我可能会改变主意”]
2,3,['Between the constant tweegrams and the bad bitches playing themselves out for attention and the stupid caption pics instagram lost me.'],[“在不断的tweegrams和坏婊子之间玩自己的注意和愚蠢的标题图片instagram失去了我。”]
3,4,"[""Between this trend and the vines acting like women its like niggas couldn't wait to be faggots ",[“在这种趋势和葡萄树表现得像女人之间，它就像黑人一样迫不及待地想成为同性恋
4,5,['Beyonc more of a hipster bitch wit no hips these days'],[“碧昂丝现在更像个没有臀部的时髦婊子”]
5,6,['Big G-Day s/o to #FreeBoosie nicca lol!!!!!'],['Big G-Day s/o to#FreeBoosie nicca lol！！！！！']
6,7,['Big Red and fat squaw ...lol my hubby is so funny!! #insidejoke'],[‘又红又胖的大女人……哈哈，我老公真有趣！！#内部书签“]
7,8,"['Big Squawk: Q: when will DFL dump Ryan ""Uncle Tom"" Winkler? \n} Not going to happen Berg\nBleat on.\n#mngop proud #stribpol #mnleg']",问：DFL什么时候会甩掉瑞安“汤姆叔叔”温克勒？\n} 不会发生的，继续。\n#mngop proud#stribpol#mnleg']
8,9,"['Big bird holds press conf claims ""he does not care for the letter f""']",
9,10,['Big bitches be like  Im Thick yea bitch atound the midsection'],
10,11,['Big black bitches out here arguing'],
11,12,"['Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs , big ass , pretty face = hoe.']",[‘大胸部=没有屁股没有屁股=大胸部大胸部和大屁股=丑陋的脸大胸部，大屁股，漂亮的脸=锄头。’]
12,13,"[""Big bro moose trying slide into these hoes DM's ",[“大兄弟驼鹿试图滑进这些锄头
13,14,['Big greenmile tweetin ass nicca'],['Big greenmile tweetin ass nicca']
14,15,['Big hair bitches &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;'],
15,16,['Big moe rn like a hoe haha yuhhhh'],
16,17,['Big night of  #hoosiers #iubb #big10 and #pacers #nba #indiana #hoosierstate #paulgeorge #codyzeller ,
17,18,['Big ol pussy Harrington blocked me again'],
18,19,['Big thick pretty bitch'],[“又大又厚的漂亮婊子”]
19,20,['Biggest booth I ever seen lastnight bitch had a leopard print jumper on look like an over weight leopard'],
20,21,['Biggie was and always will be the flyest cunt in rap. #biggie'],[“比吉过去是，将来也永远是说唱界最性感的女人。#大人物']
21,22,['Bigots demand recount in #Idaho #gay rights ordinance referendum ,爱达荷州同性恋权利条例公投中偏执者要求重新计票
22,23,"['Bij vraag wat is d naam van de engels des doods,dacht eerst Robert.Ik:Israel..uhm iets met Gargamel,hoe heet die kat ook al weer..oja Azrael']",
23,24,['Biker gang looking ass bitches with titty tats. Foh sons of anarchy.'],
24,25,['Bill Cosby stealing pussy'],[“比尔·科斯比偷猫咪”]
25,26,['Bill Romanowski is still a cunt. Who saw that one coming.'],比尔·罗曼诺夫斯基还是个贱人。谁看见那个人来了
26,27,['Bill Smith DDS MTV ODB LGBTQ MMA NFL AFLCIO \n\nbitch pick one.\n\nFucking hate you.\n\nI know you proud but shit.'],['Bill Smith DDS MTV ODB LGBTQ MMA NFL AFLCIO\n\n想选一个。\n\n我恨你。\n\n我知道你很骄傲，但他妈的。']
27,28,['Birthday today bitches and I gotta work :/'],[“今天生日婊子和我要工作：/”]
28,29,['Bitch I want my number back yo pussy mustard... oh yeah FUCK DAT BITCH TRUST ME! #DRO'],[“婊子，我要回我的电话号码，你这个娘娘腔。。。哦，是的，该死的婊子相信我！#DRO']
29,30,"[""Bitch I'm not about to eat ya pussy all day long..\n\nI got a life.""]",[“婊子，我不想整天吃你的猫咪..\n\n我有生活。”]
30,31,"[""Bitch I'm the man that's right I said it, bitch I'm the man don't you forget it. ""]",[“婊子，我是男人，没错，我说了，婊子，我是男人，你别忘了。”]
31,32,"[""Bitch ain't u his lawyer y u thank ery body STFU kill dat bitch to""]",[“婊子，你不是他的律师，你感谢所有的人杀死了这个婊子”]
32,33,['Bitch and who the fuck r u am speak when the fuck I feel like it and stop a pussy ass Nigga and box the fuck up'],[“婊子，你他妈的是谁，当我他妈的喜欢的时候说话，阻止一个娘娘腔黑鬼，把他妈的关起来”]
33,34,"['Bitch ass nigga, be hating on black women... Uncle Tom bitch punk.']",[婊子屁股黑鬼，恨黑人女人。。。汤姆叔叔婊子朋克
34,35,"['Bitch ass people are the first to call someone out for being a ""bitch""']",[‘婊子屁股的人是第一个因为某人是个‘婊子’而大喊大叫的人’]
35,36,['Bitch bitch bitch'],[“婊子”]
36,37,"[""Bitch don't talk yo shit then, say you on papers when a bitch trinna get down  you a straight FAG BITCH foe dat. Scary ass hoe.""]",[“婊子别胡说八道，当一个婊子把你弄下来的时候，在报纸上说你是一个同性恋婊子的敌人。可怕的锄头
37,38,"[""Bitch duck on whore ass slut cunt ha Biden it's Gucci. Tho whatever. Nigea @t_jawad89""]",[“婊子鸭对妓女屁股荡妇贱人哈拜登这是古奇。不管怎样。奈杰亚@t\u jawad89“]
38,39,"[""Bitch fuck yo nigga, what's up with that pussy!!?!""]",[“婊子操你这个黑鬼，那娘娘腔怎么了！！？”]
39,40,['Bitch fuk wat a hater gotta say .......brickk ent ya bitch ,
40,41,['Bitch had a redbook account with all selfies on the add like bitch no tricks wanna see yo face'],[“婊子有一个红皮书帐户，上面有所有的自拍，就像婊子没有把戏想看你的脸”]
41,42,"[""Bitch i wouldn't eat yah pussy wit another nigga tongue""]",[“婊子，我不会用另一个黑鬼的舌头吃你的娘娘腔”]
42,43,['Bitch just sucked my dick and tried to give me sugar bitch get out'],
43,44,['Bitch killa gone be dacing in that bitch cdfu'],[“婊子杀手在那婊子身上乱搞”]
44,45,"[""Bitch nicca talmbout a mf 3peat....Df y'all ain't da Lakers""]",[“婊子尼卡Tallmbout a mf 3peat….你们不是湖人”]
45,46,"[""Bitch shutcho got damn mouf hoe  Mallett ain't gon help yo funky ass texans""]",[“婊子shutcho得到了该死的mouf hoe Mallett是不会帮你时髦的德克萨斯人”]
46,47,"['Bitch you frooooontin, bitch you frooooontin. Lol']",[“婊子你，婊子你，婊子你。Lol']
47,48,"[""Bitch you're the ugliest cunt ever.""]",
48,49,"[""Bitch, you may have a million dollar body, but you got a dollar menu face and a four-piece nugget pussy, so you ain't worth shit.""]",[“婊子，你可能有一个百万美元的身体，但你有一个美元菜单脸和一个四块金块的女人，所以你不值得屎。”]
49,50,"['Bitches ah have a baby &amp; be like ""don\'t claim my child"" bitch you good &amp; goddamn well ain\'t NOBODY claiming your creature ']",[‘婊子啊，生个孩子吧，就像‘不要认领我的孩子’‘婊子，你这个好婊子，没人认领你的孩子’]
50,51,"[""Bitches ain't shit but hoes and tricks""]",[“婊子不是屎而是锄头和把戏”]
51,52,"[""Bitches always like you got hoes.. I be like duhh I'm tryna make you one of em  nbs""]",[“婊子们总是喜欢你有锄头。。我想让你成为他们中的一员“]
52,53,['Bitches always think somebody want them or they little coochie lol chilling dont exist nomore ? Iont want yall hoes'],[婊子们总是认为有人想要他们，或者他们不存在了？我不想要你的锄头
53,54,"['Bitches be 17 in the 9th grade talking about "" where my bae at ?"" No bitch , where ya credits at?']",9年级17岁的婊子们在谈论“我的bae在哪里？”不是婊子，你在哪儿]
54,55,['Bitches be happy about burger king pollo tropical on lunch break at work but act like dinner with new niggaz gotta be upscale.'],
55,56,"[""Bitches be having a nigga but want to be another nigga WCW bitch it don't work like that""]",
56,57,['Bitches be in they feelings to much like live bitch'],[“婊子们的感情很像活婊子”]
57,58,"['Bitches be like ""Keep Calm I\'m Single""........... first of all bitch, nobody was hype']",
58,59,"['Bitches be like ""New Avi &gt;&gt;"" and I\'m just like bitch, your new avi is UGLY, your old avi was UGLY, bitch YOU ugly.']",[‘婊子们就像‘新阿维&gt；’我就像婊子一样，你的新阿维很丑，你的旧阿维很丑，婊子你很丑。】
59,60,"[""Bitches be like I want something real ... And I be like I want a bitch with real hair but we can't always get what we want now can we lol""]",
60,61,['Bitches be like im nt beefing over a niggah smh'],
61,62,"[""Bitches be like niggas ain't shit ... Naw bitch maybe you just ain't shit""]",[“婊子们就像黑鬼不是屎。。。不，婊子，也许你不是狗屎“]
62,63,['Bitches be mad they mane nigga gettin snatched up by all these whore yah pussy prolli wack ctfu'],[“婊子们疯了，他们是黑鬼，被这些婊子抓了，是个娘娘腔，是个疯子”]
63,64,"['Bitches be screaming fuck they nigga, but get mad when another bitch fuck they nigga']",[“婊子们尖叫着操他们黑鬼，但是当另一个婊子操他们黑鬼的时候会生气”]
64,65,['Bitches be sounding damnear retarded on tbh videos  nbs'],[‘在tbh视频nbs上，婊子们听起来像个弱智的人’]
65,66,"['Bitches be tambout ""my party""..... no bitch, its everybody party....']",
66,67,['Bitches be trying to squash all beef wen they find out they pregnant! Some hoes dont give a fuck!'],
67,68,"['Bitches be watching me from other bitches pages; THATS RIGHT BITCH , TEAM WORK ']",
68,69,"[""Bitches be wearing extensions, fake eye lashes and make up talkin bout they bad bitches. No bitch you are not bad you're a created player""]",[“婊子们戴着延长线，假睫毛，还化妆说他们是坏婊子。不婊子你不坏你是一个天生的球员“]
69,70,['Bitches bitches bitches'],[“婊子婊子”]
70,71,"[""Bitches can't fuck with my bitches they deadly""]",[“婊子们不能操我的婊子们他们是致命的”]
71,72,['Bitches cheat on they bitch... But be SOOOOOO HU when they bitch cheat back.'],
72,73,"[""Bitches complain about they baby daddies not being shit, but bitch you KNEW he wasn't shit you didn't HAVE to keep that baby you CHOSE to ""]",
73,74,['Bitches corny with that not saving numbers shit I hate them hoes'],
