Column1,ï»¿problem_id,problem_id,translated,_1
0,1,"[""  As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...""",作为一个女人，你不应该抱怨打扫你的房子amp；作为一个男人，你应该经常把垃圾倒出去……,
1,2,[' boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!',男孩很冷…泰加对库宾来说不好，他在第一位！！”,
2,3,['  You ever fuck a bitch and she start to cry? You be confused as shit',你有没有干过一个婊子然后她开始哭？你会被搞糊涂的,
3,4,['  she look like a tranny',她看起来像个花花公子”,
4,5,[' The shit you hear about me might be true or it might be faker than the bitch who told it to ya ',你听到的关于我的狗屎可能是真的，也可能是假的，而不是告诉你的那个婊子”,
5,6,"['""The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! ""'",这狗屎真让我受不了..声称你对某个人如此忠诚和卑微，但仍在操妓女！”,
6,7,"['""I can not just sit up and HATE on another bitch .. I got too much shit going on!""'",我不能坐起来恨另一个婊子。。我有太多的事要做,
7,8,"[""cause I'm tired of you big bitches coming for us skinny girls!!""",因为我厌倦了你们这些大婊子来找我们这些瘦女孩！！”,
8,9,"['"" &amp; you might not get ya bitch back &amp; thats that ""'",你可能回不来你的婊子那是,
9,10,"['"" :hobbies include: fighting Mariam""\n\nbitch'",'：爱好包括：与Mariam战斗”\n\n爱好',
10,11,"['"" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh'",基克斯是个婊子，她勾引每个人”哈哈，我走进了这样的对话。Smh',
11,12,"['"" Murda Gang bitch its Gang Land ""'",穆达黑帮婊子的黑帮土地,
12,13,"['"" So hoes that smoke are losers ? "" yea ... go on IG'",那么抽烟的人是失败者？”赞成。。。继续IG',
13,14,"['"" bad bitches is the only thing that i like ""'",坏婊子是我唯一喜欢的,
14,15,"['"" bitch get up off me ""'",婊子放开我,
15,16,"['"" bitch nigga miss me with it ""'",婊子黑鬼想我了,
16,17,"['"" bitch plz whatever ""'",婊子随便,
17,18,"['"" bitch who do you love ""'",你爱谁的婊子,
18,19,"['"" bitches get cut off everyday B ""'",婊子每天都被砍掉B”,
19,20,"['"" black bottle &amp; a bad bitch ""'",黑瓿坏婊子,
20,21,"['"" broke bitch cant tell me nothing ""'",坏婊子什么都不能告诉我,
21,22,"['"" cancel that bitch like Nino ""'",取消尼诺那样的婊子,
22,23,"['"" cant you see these hoes wont change ""'",你看不出这些妓女不会变吗,
23,24,"['"" fuck no that bitch dont even suck dick ""  the Kermit videos bout to fuck IG up'",他妈的不，那个婊子，别再吸迪克了”科米特的视频要搞砸亿,
24,25,"['"" got ya bitch tip toeing on my hardwood floors ""  ",让你在我的硬木地板上踮着脚尖,
25,26,"['"" her pussy lips like Heaven doors "" '",她的阴唇像天堂之门,
26,27,"['"" hoe what its hitting for ""'",hoe what it hitting for,
27,28,"['"" i met that pussy on Ocean Dr . i gave that pussy a pill "" '",我在海上遇见了那个女人。我给了那女人一颗药丸,
28,29,"['"" i need a trippy bitch who fuck on Hennessy ""'",我需要一个操轩尼诗的婊子,
29,30,"['"" i spend my money how i want bitch its my business ""'",我想怎么花钱就怎么花，这是我的事,
30,31,"['"" i txt my old bitch my new bitch pussy wetter ""'",我给我的老婊子我的新婊子尿布,
31,32,"['"" i\'d say im back to the old me but my old bitches would get excited "" '",我会说我回到了以前的我，但我的老婊子们会很兴奋,
32,33,"['"" if you aint bout that Murder Game pussy nigga shut up ""'",如果你不想玩那个谋杀游戏，闭嘴”,
33,34,"['"" if you\'re toes ain\'t done you pussy stinks ""'",如果你的脚趾还没完成，你的阴部就臭了,
34,35,"['"" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that ""'",我受够了那些苦涩的婊子们，这是个包袱。如果你是一个愤怒的小鸟，有一个应用程序,
35,36,"['"" is that ya bitch ""'",那是你的婊子,
36,37,"['"" it aint nothing to cut a bitch off ""'",砍掉一个婊子不是什么事,
37,38,"['"" jus meet son now he ya mane ass bitches "" #Shots'",现在见儿子，他是个马屁精枪声,
38,39,"['"" lames crying over hoes thats tears of a clown ""'",瘸子为妓女哭泣那是小丑的眼泪,
39,40,"['"" like Snoop said in 94 we dont love these hoes ""'",就像斯努普圿4年说的那样，我们不喜欢这些妓女,
40,41,"['"" momma said no pussy cats inside my doghouse ""'",妈妈说我的狗窝里没有猫咪,
41,42,"['"" most hated but the hoes favorite "" #2MW #SevenOne # ",最讨厌但最受欢迎的人2MW#SevenOne#,
42,43,"['"" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" ",好女孩坏，让我变得淘气。坏耶洛妓女，真正的好身体。南边的小妞，真的很胿,
43,44,"['"" pimps up pimps up hoes down "" Future voice'",皮条客上皮条客上锄下”未来之壿,
44,45,"['"" post a picture of that pussy get 200 likes ""'",贴一张那女人的照片，得到200个赞,
45,46,"['"" pussy is a powerful drug ""  #HappyHumpDay ",阴部是一种强大的药物祝你快乐,
46,47,"['"" quick piece of pussy call it a drive by ""'",快跑的女人叫它开车经过,
47,48,"['"" running round here like some brand new pussy thats bout to get fucked ""'",像新来的女人一样跑来跑去，就要被操了,
48,49,"['"" these bitches even worst they\'ll send them guys for you ""'",这些婊子最坏的情况是他们会派人来找你,
49,50,"['"" these hoes like niggas that spend money not talk bout it ""'",这些妓女就像黑鬼一样花钱不谈,
50,51,"['"" we dont trust these niggas all these bitches ""'",我们不信任这些黑鬼和这些婊子,
51,52,"['"" yall niggas b cuffing hoes cause yall aint never have bitches ""'",所有的黑人都有手铐，因为他们从来没有婊子,
52,53,"['"" you dodge a bullet ""  ""All da bitches I cut off pregnant or bound to be ....thank God ""'",你躲开了子弹”所有我砍掉的，怀孕的，或注定要怀孕的女人……感谢上帝”,
53,54,"['"" young Pill Chamberlain these bitches love my music ""'",年轻的药丸管家这些婊子喜欢我的音乐,
54,55,"['""Teanna Trump probably cleaner than most of these twitter hoes but.........""'",蒂娜·特朗普可能比大多数推特妓女更干净，但是…………”,
55,56,"['""Gay niggas couldn\'t wait to act like bitches tonight""'",同性恋黑人迫不及待地想今晚表现得像个婊子,
56,57,"['""And ima steal his cat n replace it with a pitbull   He a bitch you should do it""'",我偷了他的猫，换成了斗牛犬，他是个婊子，你应该这么做,
57,58,"['""&amp; he\'s gone always be a hoe""'",他走了，永远是个妓女”,
58,59,"['""...Son of a bitch took my Tic Tacs.""\n\nI like this movie.'",…狗娘养的拿走了我的Tic-Tacs。”\n\n我喜欢这部电影。”,
59,60,"['""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons'",'我只想弄到钱去操模特娘们！罗素·西蒙斿,
60,61,"['""I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers"". Retweet'",如果我们不必和贱人老师打交道，我可能不会那么介意上学。”。转叿,
61,62,"['""I\'m a fucking fag they said""'",我是他妈的基佬他们说,
62,63,"['""Females think dating a pussy is cute now? ",女性认为现在和女人约会很可爱？,
63,64,"['""-SimplyAddictedToGuys ",SimplyAddictedToGuys,
64,65,"['""Have ya ever asked your bitch for other bitches - kanye voice"" Yes'",你有没有向你的婊子要过别的婊子-坎耶的声音是的”,
65,66,"['""How u gone bring ur side bitch to a game where You know Ya gf friends at ?! "" I SWEAR!!!!!'",你怎么能把你的婊子带到一个你认识你女朋友的游戏里去？！”我发誓,
66,67,"['""Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol'",莱米吃奥利奥，做这些菜。”一个奥利奥？Lol',
67,68,"['""bitch fuck u ",婊子操使,
68,69,"['""Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?'",操红色马龙人婊子屁股黑鬼”你能用完整的句子吗,
69,70,"['""Why the eggplant emoji doe?""y he say she looked like scream lmao'",为什么是茄子表情图呢？”他说她看起来像是尖叿,
70,71,"['""Hennessey Venom GT  ",Hennessey Venom GT,
71,72,"['""Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!'",他把我的阴部弄湿了，然后是一个浴帘…\ahmesehwetnesslt；lmao！！',
